0_s_1_ang,10,303
1000_s_1_hap,9,286
1001_s_1_hap,17,377
1002_s_1_hap,20,393
1003_s_1_hap,17,620
1004_s_1_hap,13,338
1005_s_1_hap,8,309
1006_s_1_hap,9,268
1007_s_1_hap,6,315
1008_s_1_exc,20,625
1009_s_1_hap,10,314
100_s_1_ang,23,440
1010_s_1_hap,20,475
1011_s_1_hap,18,469
1012_s_1_hap,9,277
1013_s_1_hap,9,288
1014_s_1_hap,7,275
1015_s_1_exc,11,484
1016_s_1_hap,8,245
1017_s_1_hap,7,256
1018_s_1_hap,4,133
1019_s_1_hap,6,182
101_s_1_ang,15,290
1020_s_1_hap,28,565
1021_s_1_sad,10,231
1022_s_1_hap,15,605
1023_s_1_hap,18,368
1024_s_1_hap,16,635
1025_s_1_hap,9,273
1026_s_1_hap,8,259
1027_s_1_exc,49,1430
1028_s_1_exc,8,337
1029_s_1_hap,16,362
102_s_1_ang,22,584
1030_s_1_hap,29,891
1031_s_1_hap,13,330
1032_s_1_exc,36,939
1033_s_1_hap,12,433
1034_s_1_hap,4,285
1035_s_1_hap,9,244
1036_s_1_neu,8,229
1037_s_1_neu,7,243
1038_s_1_ang,16,375
1039_s_1_ang,9,276
103_s_1_neu,12,391
1040_s_1_ang,22,601
1041_s_1_ang,5,178
1042_s_1_ang,32,714
1043_s_1_ang,10,307
1044_s_1_ang,9,220
1045_s_1_ang,18,375
1046_s_1_ang,9,245
1047_s_1_ang,21,610
1048_s_1_ang,5,200
1049_s_1_ang,18,351
104_s_1_neu,4,167
1050_s_1_ang,4,122
1051_s_1_ang,8,253
1052_s_1_ang,9,283
1053_s_1_ang,16,501
1054_s_1_ang,6,166
1055_s_1_ang,10,259
1056_s_1_ang,21,517
1057_s_1_ang,38,938
1058_s_1_ang,16,489
1059_s_1_ang,65,1892
105_s_1_neu,12,326
1060_s_1_neu,11,336
1061_s_1_neu,16,620
1062_s_1_neu,9,278
1063_s_1_ang,30,652
1064_s_1_ang,23,514
1065_s_1_ang,20,565
1066_s_1_ang,14,374
1067_s_1_ang,17,392
1068_s_1_ang,30,666
1069_s_1_ang,11,282
106_s_1_neu,5,180
1070_s_1_ang,32,922
1071_s_1_ang,48,1246
1072_s_1_ang,13,335
1073_s_1_ang,20,582
1074_s_1_ang,11,255
1075_s_1_ang,11,316
1076_s_1_ang,9,299
1077_s_1_ang,12,384
1078_s_1_ang,6,355
1079_s_1_ang,8,208
107_s_1_neu,24,464
1080_s_1_ang,8,216
1081_s_1_ang,25,758
1082_s_1_ang,9,229
1083_s_1_ang,7,172
1084_s_1_ang,48,1425
1085_s_2_neu,23,424
1086_s_2_ang,26,570
1087_s_2_ang,24,521
1088_s_2_ang,17,420
1089_s_2_ang,53,1021
108_s_1_neu,11,334
1090_s_2_neu,4,143
1091_s_2_neu,23,610
1092_s_2_neu,13,269
1093_s_2_neu,5,146
1094_s_2_ang,23,509
1095_s_2_ang,8,232
1096_s_2_sad,11,300
1097_s_2_sad,18,602
1098_s_2_sad,30,728
1099_s_2_sad,8,259
109_s_1_neu,18,303
10_s_1_ang,41,1021
1100_s_2_sad,38,1217
1101_s_2_sad,8,311
1102_s_2_sad,28,683
1103_s_2_sad,30,1194
1104_s_2_sad,40,1120
1105_s_2_sad,10,405
1106_s_2_sad,28,781
1107_s_2_sad,25,823
1108_s_2_sad,20,628
1109_s_2_sad,14,1311
110_s_1_neu,5,119
1110_s_2_sad,47,1349
1111_s_2_sad,5,192
1112_s_2_exc,25,404
1113_s_2_exc,15,212
1114_s_2_exc,7,200
1115_s_2_exc,57,1208
1116_s_2_exc,20,420
1117_s_2_exc,8,142
1118_s_2_exc,31,633
1119_s_2_exc,23,457
111_s_1_neu,4,112
1120_s_2_hap,36,621
1121_s_2_hap,34,588
1122_s_2_hap,36,642
1123_s_2_hap,48,702
1124_s_2_hap,30,713
1125_s_2_exc,39,1108
1126_s_2_hap,10,273
1127_s_2_exc,29,644
1128_s_2_hap,9,186
1129_s_2_hap,29,343
112_s_1_neu,24,267
1130_s_2_exc,49,846
1131_s_2_hap,12,359
1132_s_2_hap,12,391
1133_s_2_neu,6,343
1134_s_2_hap,17,570
1135_s_2_exc,13,261
1136_s_2_hap,26,480
1137_s_2_hap,17,317
1138_s_2_hap,12,335
1139_s_2_exc,21,509
113_s_1_neu,4,175
1140_s_2_neu,22,608
1141_s_2_neu,9,144
1142_s_2_neu,14,407
1143_s_2_neu,20,279
1144_s_2_neu,7,145
1145_s_2_neu,15,386
1146_s_2_hap,44,859
1147_s_2_hap,22,627
1148_s_2_hap,18,349
1149_s_2_hap,38,966
114_s_1_neu,18,380
1150_s_2_exc,21,425
1151_s_2_exc,17,506
1153_s_2_sad,7,230
1155_s_2_neu,24,436
1156_s_2_neu,37,629
1157_s_2_neu,16,340
1158_s_2_neu,63,1296
1159_s_2_neu,38,761
115_s_1_neu,11,234
1160_s_2_neu,27,766
1161_s_2_neu,38,683
1162_s_2_neu,28,485
1163_s_2_neu,18,573
1164_s_2_neu,54,920
1167_s_2_neu,64,1315
1168_s_2_neu,52,1277
116_s_1_neu,12,340
1171_s_2_neu,42,932
1172_s_2_neu,24,535
1173_s_2_neu,18,365
1174_s_2_neu,32,729
1175_s_2_neu,5,146
1176_s_2_ang,38,839
1177_s_2_ang,15,296
1178_s_2_ang,27,606
1179_s_2_neu,20,463
117_s_1_neu,30,766
1180_s_2_neu,21,858
1181_s_2_neu,23,653
1182_s_2_neu,32,735
1183_s_2_neu,21,725
1184_s_2_neu,16,439
1185_s_2_neu,34,1002
1186_s_2_neu,25,686
1187_s_2_neu,41,798
1188_s_2_neu,21,401
