Filename,Start,End,Score,Sentiment,Type
03bSnISJMiM_1,51.90453338623047,55.945350646972656,2.4000000953674316,positive,train
03bSnISJMiM_2,56.04512405395508,66.78072357177734,-0.800000011920929,negative,train
03bSnISJMiM_3,66.78072357177734,68.73628234863281,-1.0,negative,train
03bSnISJMiM_4,68.73628234863281,70.54217529296875,-1.75,negative,train
03bSnISJMiM_5,70.54217529296875,71.69954681396484,0.0,positive,train
03bSnISJMiM_6,71.69954681396484,72.85691833496094,0.0,positive,train
03bSnISJMiM_7,72.85691833496094,77.79569244384766,0.800000011920929,positive,train
03bSnISJMiM_8,77.79569244384766,89.52902221679688,0.0,positive,train
03bSnISJMiM_9,89.52902221679688,92.23287963867188,0.20000000298023224,positive,train
03bSnISJMiM_10,92.23287963867188,94.8070297241211,-1.2000000476837158,negative,train
03bSnISJMiM_11,94.8070297241211,96.57301330566406,-0.5,negative,train
03bSnISJMiM_12,96.57301330566406,99.01746368408203,2.200000047683716,positive,train
03bSnISJMiM_13,168.6591796875,170.24557495117188,1.7999999523162842,positive,train
0h-zjBukYpk_1,33.705894470214844,37.666893005371094,-0.4000000059604645,negative,train
0h-zjBukYpk_2,43.73310470581055,56.71360397338867,-2.799999952316284,negative,train
0h-zjBukYpk_3,56.71360397338867,59.766666412353516,-0.20000000298023224,negative,train
0h-zjBukYpk_4,59.766666412353516,63.74761962890625,-1.399999976158142,negative,train
0h-zjBukYpk_5,63.74761962890625,74.89228820800781,0.800000011920929,positive,train
0h-zjBukYpk_6,74.89228820800781,83.45283508300781,-1.399999976158142,negative,train
0h-zjBukYpk_7,83.28321838378906,87.21428680419922,1.7999999523162842,positive,train
0h-zjBukYpk_8,87.21428680419922,91.11541748046875,0.800000011920929,positive,train
0h-zjBukYpk_9,91.11541748046875,92.8913803100586,-1.0,negative,train
0h-zjBukYpk_10,92.8913803100586,96.26371765136719,-0.6000000238418579,negative,train
0h-zjBukYpk_11,96.26371765136719,98.00975036621094,0.4000000059604645,positive,train
0h-zjBukYpk_12,98.00975036621094,98.89773559570312,-0.800000011920929,negative,train
0h-zjBukYpk_13,98.89773559570312,99.63605499267578,1.25,positive,train
0h-zjBukYpk_14,113.22516632080078,120.38888549804688,1.399999976158142,positive,train
0h-zjBukYpk_15,120.38888549804688,122.39433288574219,0.0,positive,train
0h-zjBukYpk_16,122.73355865478516,126.40521240234375,0.6000000238418579,positive,train
0h-zjBukYpk_17,126.40521240234375,131.66326904296875,0.20000000298023224,positive,train
0h-zjBukYpk_18,131.66326904296875,137.12086486816406,-2.0,negative,train
0h-zjBukYpk_19,137.12086486816406,140.06417846679688,-0.4000000059604645,negative,train
0h-zjBukYpk_20,140.06417846679688,147.03831481933594,0.6000000238418579,positive,train
0h-zjBukYpk_21,158.78163146972656,160.42788696289062,2.0,positive,train
0h-zjBukYpk_22,160.42788696289062,162.6927490234375,1.7999999523162842,positive,train
0h-zjBukYpk_23,162.6927490234375,166.5340118408203,2.5999999046325684,positive,train
0h-zjBukYpk_24,166.5340118408203,167.86099243164062,2.5999999046325684,positive,train
0h-zjBukYpk_25,167.86099243164062,179.0755157470703,2.200000047683716,positive,train
1DmNV9C1hbY_1,12.543991088867188,16.405216217041016,-2.0,negative,train
1DmNV9C1hbY_2,16.405216217041016,20.785261154174805,1.600000023841858,positive,train
1DmNV9C1hbY_3,20.785261154174805,23.529024124145508,1.0,positive,train
1DmNV9C1hbY_4,23.529024124145508,30.134014129638672,2.0,positive,train
1DmNV9C1hbY_5,30.134014129638672,33.7358283996582,-1.7999999523162842,negative,train
1DmNV9C1hbY_6,33.7358283996582,39.00385665893555,-1.600000023841858,negative,train
1DmNV9C1hbY_7,39.00385665893555,43.55351638793945,-1.600000023841858,negative,train
1DmNV9C1hbY_8,43.55351638793945,45.39931869506836,-1.7999999523162842,negative,train
1DmNV9C1hbY_9,45.39931869506836,48.10317611694336,2.200000047683716,positive,train
1DmNV9C1hbY_10,48.10317611694336,49.380271911621094,2.5999999046325684,positive,train
1DmNV9C1hbY_11,56.623809814453125,59.60702896118164,-1.7999999523162842,negative,train
1DmNV9C1hbY_12,59.60702896118164,63.0192756652832,0.4000000059604645,positive,train
1DmNV9C1hbY_13,63.0192756652832,65.35396575927734,-1.25,negative,train
1DmNV9C1hbY_14,65.35396575927734,66.53129577636719,-2.0,negative,train
1iG0909rllw_1,6.976644039154053,8.503174781799316,-0.4000000059604645,negative,train
1iG0909rllw_2,8.503174781799316,10.378911972045898,-1.75,negative,train
1iG0909rllw_3,10.378911972045898,13.970747947692871,2.0,positive,train
1iG0909rllw_4,13.970747947692871,17.512699127197266,-1.2000000476837158,negative,train
1iG0909rllw_5,17.512699127197266,20.146711349487305,2.200000047683716,positive,train
1iG0909rllw_6,20.146711349487305,21.55351448059082,1.600000023841858,positive,train
1iG0909rllw_7,21.55351448059082,28.65736961364746,-0.6000000238418579,negative,train
1iG0909rllw_8,28.65736961364746,30.243764877319336,-2.4000000953674316,negative,train
1iG0909rllw_9,30.243764877319336,34.93310546875,-0.20000000298023224,negative,train
1iG0909rllw_10,34.93310546875,39.053741455078125,0.6000000238418579,positive,train
1iG0909rllw_11,39.053741455078125,42.196598052978516,2.200000047683716,positive,train
1iG0909rllw_12,42.196598052978516,43.842857360839844,1.600000023841858,positive,train
1iG0909rllw_13,43.842857360839844,45.42925262451172,1.399999976158142,positive,train
1iG0909rllw_14,45.42925262451172,53.72040939331055,-0.20000000298023224,negative,train
1iG0909rllw_15,56.264625549316406,59.3775520324707,-1.399999976158142,negative,train
1iG0909rllw_16,59.3775520324707,67.60884094238281,-1.399999976158142,negative,train
1iG0909rllw_17,67.60884094238281,73.06643676757812,-1.399999976158142,negative,train
1iG0909rllw_18,73.06643676757812,79.49183654785156,-1.7999999523162842,negative,train
1iG0909rllw_19,79.49183654785156,85.40838623046875,-1.0,negative,train
1iG0909rllw_20,85.40838623046875,94.8070297241211,0.4000000059604645,positive,train
1iG0909rllw_21,94.8070297241211,107.4283447265625,-0.4000000059604645,negative,train
1iG0909rllw_22,107.4283447265625,116.09864044189453,-0.20000000298023224,negative,train
1iG0909rllw_23,116.09864044189453,118.9621353149414,1.7999999523162842,positive,train
1iG0909rllw_24,118.73265075683594,120.67823028564453,-1.0,negative,train
1iG0909rllw_25,120.67823028564453,123.44194793701172,2.0,positive,train
1iG0909rllw_26,123.04285430908203,130.8052215576172,-0.6000000238418579,negative,train
1iG0909rllw_27,130.8052215576172,136.2628173828125,1.7999999523162842,positive,train
1iG0909rllw_28,136.2628173828125,140.7825469970703,1.2000000476837158,positive,train
1iG0909rllw_29,140.7825469970703,145.1226806640625,-1.399999976158142,negative,train
1iG0909rllw_30,145.1226806640625,146.77891540527344,-1.600000023841858,negative,train
2WGyTLYerpo_1,0.012471655383706093,2.137641668319702,2.0,positive,train
2WGyTLYerpo_2,2.137641668319702,2.8061225414276123,0.4000000059604645,positive,train
2WGyTLYerpo_3,2.8061225414276123,7.575283527374268,0.0,positive,train
2WGyTLYerpo_4,7.575283527374268,14.280045509338379,-0.4000000059604645,negative,train
2WGyTLYerpo_5,14.280045509338379,18.09138298034668,0.0,positive,train
